"Wetterstation R.-Steiner-Schule Ismaning"
"1/3/22 00:00 : 1 Day"
"","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway"
"","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Date & Time","Barometer - hPa","Inside Temp - °C","Inside Hum - %","Inside Dew Point - °C","Inside Heat Index - °C","Inside EMC","Temp - °C","High Temp - °C","Low Temp - °C","Hum - %","Dew Point - °C","Wet Bulb - °C","Wind Speed - km/h","Wind Direction","Wind Run - km","High Wind Speed - km/h","High Wind Direction","Wind Chill - °C","Heat Index - °C","THW Index - °C","THSW Index - °C","Rain - mm","Rain Rate - mm/h","Solar Rad - W/m^2","Solar Energy - Ly","High Solar Rad - W/m^2","ET - mm","UV Index","UV Dose - MEDs","High UV Index","Heating Degree Days","Cooling Degree Days"
"1/3/22 00:00","1032,8","16","33","0","15","6,8","-2","-1","-2","69","-7","-4","3","ESE","1,6","11","ESE","-3","-2","-3","-5","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,419","0,000"
"1/3/22 00:30","1032,7","16","33","0","15","6,8","-2","-2","-2","68","-7","-4","3","E","1,6","13","ESE","-3","-2","-3","-6","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,424","0,000"
"1/3/22 01:00","1032,5","16","33","0","15","6,8","-2","-2","-2","68","-7","-4","3","E","1,6","13","ESE","-3","-2","-3","-6","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,428","0,000"
"1/3/22 01:30","1032,3","16","33","0","15","6,8","-3","-2","-3","68","-8","-5","2","E","0,8","13","ESE","-3","-3","-3","-5","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,435","0,000"
"1/3/22 02:00","1032,2","16","33","0","15","6,8","-3","-3","-3","69","-8","-5","2","ESE","0,8","11","ESE","-3","-3","-3","-6","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,441","0,000"
"1/3/22 02:30","1032,1","16","33","0","15","6,8","-3","-3","-3","71","-8","-5","3","E","1,6","14","ESE","-4","-3","-4","-7","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,449","0,000"
"1/3/22 03:00","1031,9","16","33","0","15","6,8","-3","-3","-3","72","-8","-5","2","E","0,8","13","ESE","-3","-4","-4","-6","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,453","0,000"
"1/3/22 03:30","1031,5","16","33","0","15","6,8","-4","-3","-4","75","-8","-6","0","","0,0","3","ENE","-4","-4","-4","-7","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,470","0,000"
"1/3/22 04:00","1031,4","16","33","0","15","6,8","-5","-4","-5","77","-8","-6","0","","0,0","3","E","-5","-5","-5","-7","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,478","0,000"
"1/3/22 04:30","1031,3","16","33","0","15","6,8","-5","-5","-5","78","-8","-6","0","","0,0","5","ENE","-5","-5","-5","-8","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,481","0,000"
"1/3/22 05:00","1031,1","16","33","0","15","6,8","-5","-5","-5","79","-8","-6","0","","0,0","0","","-5","-5","-5","-8","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,486","0,000"
"1/3/22 05:30","1031,1","16","33","0","15","6,8","-5","-5","-5","79","-8","-6","2","E","0,8","8","E","-5","-5","-5","-8","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,486","0,000"
"1/3/22 06:00","1030,9","16","33","0","15","6,8","-5","-5","-5","79","-8","-6","0","","0,0","3","NE","-5","-5","-5","-8","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,493","0,000"
"1/3/22 06:30","1031,1","16","33","0","15","6,8","-5","-5","-5","78","-8","-6","3","E","1,6","13","E","-6","-5","-6","-9","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,483","0,000"
"1/3/22 07:00","1031,4","16","33","0","15","6,8","-5","-5","-5","79","-8","-6","2","E","0,8","8","E","-5","-5","-5","-8","0,0","0,0","1","0,04","7","0,0","0","0,0","0","0,491","0,000"
"1/3/22 07:30","1031,6","16","33","0","15","6,8","-5","-5","-5","78","-8","-6","2","E","0,8","5","ESE","-5","-5","-5","-8","0,0","0,0","15","0,65","23","0,0","0","0,0","0","0,486","0,000"
