"Wetterstation R.-Steiner-Schule Ismaning"
"5/2/13 00:00 : 1 Year"
"","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway"
"","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Date & Time","Barometer - hPa","Inside Temp - °C","Inside Hum - %","Inside Dew Point - °C","Inside Heat Index - °C","Inside EMC","Temp - °C","High Temp - °C","Low Temp - °C","Hum - %","Dew Point - °C","Wet Bulb - °C","Wind Speed - km/h","Wind Direction","Wind Run - km","High Wind Speed - km/h","High Wind Direction","Wind Chill - °C","Heat Index - °C","THW Index - °C","THSW Index - °C","Rain - mm","Rain Rate - mm/h","Solar Rad - W/m^2","Solar Energy - Ly","High Solar Rad - W/m^2","ET - mm","UV Index","UV Dose - MEDs","High UV Index","Heating Degree Days","Cooling Degree Days"
"5/2/13 00:00","1013,7","18","38","4","17","7,6","6","6","6","85","4","--","11","WSW","5,6","26","W","3","6","3","2","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,259","0,000"
"5/2/13 00:30","1013,5","18","38","4","17","7,6","6","6","6","83","3","--","13","WSW","6,4","34","SW","3","6","3","2","0,2","0,0","0","0,00","0","0,0","0","0,0","0","0,255","0,000"
"5/2/13 01:00","1013,1","18","38","4","17","7,6","6","6","6","83","3","--","10","WSW","4,8","27","WSW","4","6","4","2","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,256","0,000"
"5/2/13 01:30","1012,4","18","38","4","17","7,6","6","6","6","83","3","--","10","WSW","4,8","23","SSW","4","6","4","2","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,255","0,000"
"5/2/13 02:00","1011,7","18","38","4","17","7,6","6","6","6","82","3","--","13","WSW","6,4","32","WSW","4","6","3","2","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,252","0,000"
"5/2/13 02:30","1011,3","18","38","4","17","7,6","6","6","6","82","3","--","11","WSW","5,6","27","SW","4","6","4","2","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,253","0,000"
"5/2/13 03:00","1010,6","18","38","4","17","7,6","6","6","6","80","3","--","10","WSW","4,8","29","WSW","4","6","4","2","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,252","0,000"
"5/2/13 03:30","1010,3","18","38","4","17","7,6","6","6","6","81","3","--","11","WSW","5,6","31","SSW","4","6","4","2","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,250","0,000"
"5/2/13 04:00","1010,1","18","38","4","17","7,6","6","6","6","80","3","--","13","WSW","6,4","34","SW","4","6","4","2","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,249","0,000"
"5/2/13 04:30","1009,5","18","38","4","17","7,6","7","7","6","79","3","--","13","WSW","6,4","29","WSW","4","6","4","2","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,247","0,000"
"5/2/13 05:00","1009,1","18","38","4","17","7,6","6","7","6","80","3","--","11","WSW","5,6","31","SSW","4","6","4","2","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,248","0,000"
"5/2/13 05:30","1008,6","18","38","4","17","7,6","6","6","6","81","3","--","10","WSW","4,8","24","WSW","4","6","4","2","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,250","0,000"
"5/2/13 06:00","1008,4","18","38","4","17","7,6","6","6","6","81","3","--","8","WSW","4,0","21","WSW","5","6","5","3","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,251","0,000"
"5/2/13 06:30","1008,0","18","38","4","17","7,6","6","6","6","81","3","--","8","WSW","4,0","27","SW","5","6","5","3","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,251","0,000"
"5/2/13 07:00","1007,3","19","38","4","17","7,6","6","6","6","84","4","--","10","WSW","4,8","24","WSW","4","6","4","2","0,0","0,0","6","0,26","11","0,0","0","0,0","0","0,255","0,000"
"5/2/13 07:30","1006,7","19","38","4","17","7,6","6","6","6","86","4","--","8","WSW","4,0","18","WSW","4","6","4","3","0,2","0,0","13","0,56","19","0,0","0","0,0","0","0,259","0,000"
"5/2/13 08:00","1006,6","19","38","4","17","7,6","6","6","6","87","4","--","6","SW","3,2","26","SW","4","6","4","3","0,2","0,0","22","0,95","32","0,0","0","0,0","0","0,262","0,000"
